2022-04-19 13:42:00,936 - INFO - **************common.configs**********
2022-04-19 13:42:00,936 - INFO - use_gpu: True, use_xpu: False, use_npu: False, use_visual: False, train_batch_size: 2000, train_data_dir: ./data/whole_data/train, epochs: 6, print_interval: 100, model_save_path: output_model_aitm2/
2022-04-19 13:42:00,936 - INFO - **************common.configs**********
W0419 13:42:00.938179 38848 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 11.6, Runtime API Version: 10.1
W0419 13:42:00.946969 38848 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2022-04-19 13:42:03,061 - INFO - read data
2022-04-19 13:42:03,062 - INFO - reader path:reader
start load data from: /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train
load data from /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train finished
2022-04-19 13:52:20,181 - INFO - epoch: 0, batch_id: 6100, click_auc:0.527837, purchase_auc:0.503147, loss:0.1670719, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05543 sec, avg_samples: 2000.00000, ips: 36081.40628 ins/s
2022-04-19 13:52:25,363 - INFO - epoch: 0, batch_id: 6200, click_auc:0.528629, purchase_auc:0.503522, loss:0.1596787, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.05031 sec, avg_samples: 2000.00000, ips: 39753.69848 ins/s
2022-04-19 13:52:31,160 - INFO - epoch: 0, batch_id: 6300, click_auc:0.529414, purchase_auc:0.504479, loss:0.17542796, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05648 sec, avg_samples: 2000.00000, ips: 35411.91888 ins/s
2022-04-19 13:52:36,754 - INFO - epoch: 0, batch_id: 6400, click_auc:0.530188, purchase_auc:0.504827, loss:0.1456564, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05441 sec, avg_samples: 2000.00000, ips: 36760.89198 ins/s
2022-04-19 13:52:42,475 - INFO - epoch: 0, batch_id: 6500, click_auc:0.530979, purchase_auc:0.505486, loss:0.17755856, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05591 sec, avg_samples: 2000.00000, ips: 35774.57646 ins/s
2022-04-19 13:52:48,303 - INFO - epoch: 0, batch_id: 6600, click_auc:0.531728, purchase_auc:0.505755, loss:0.187575, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.05672 sec, avg_samples: 2000.00000, ips: 35261.70651 ins/s
2022-04-19 13:52:53,779 - INFO - epoch: 0, batch_id: 6700, click_auc:0.532502, purchase_auc:0.505662, loss:0.17565429, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05322 sec, avg_samples: 2000.00000, ips: 37578.70888 ins/s
2022-04-19 13:52:59,429 - INFO - epoch: 0, batch_id: 6800, click_auc:0.533250, purchase_auc:0.505276, loss:0.17077413, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05502 sec, avg_samples: 2000.00000, ips: 36352.89218 ins/s
2022-04-19 13:53:05,087 - INFO - epoch: 0, batch_id: 6900, click_auc:0.534021, purchase_auc:0.505788, loss:0.17703405, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05509 sec, avg_samples: 2000.00000, ips: 36301.58493 ins/s
2022-04-19 13:53:10,669 - INFO - epoch: 0, batch_id: 7000, click_auc:0.534802, purchase_auc:0.506577, loss:0.20561658, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05432 sec, avg_samples: 2000.00000, ips: 36820.16405 ins/s
2022-04-19 13:53:16,550 - INFO - epoch: 0, batch_id: 7100, click_auc:0.535507, purchase_auc:0.506517, loss:0.18383151, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05726 sec, avg_samples: 2000.00000, ips: 34927.90770 ins/s
2022-04-19 13:53:22,159 - INFO - epoch: 0, batch_id: 7200, click_auc:0.536242, purchase_auc:0.507159, loss:0.16648933, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05458 sec, avg_samples: 2000.00000, ips: 36640.78018 ins/s
2022-04-19 13:53:27,440 - INFO - epoch: 0, batch_id: 7300, click_auc:0.536955, purchase_auc:0.507257, loss:0.16708161, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05149 sec, avg_samples: 2000.00000, ips: 38843.75145 ins/s
2022-04-19 13:53:33,226 - INFO - epoch: 0, batch_id: 7400, click_auc:0.537672, purchase_auc:0.507853, loss:0.1666833, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.05636 sec, avg_samples: 2000.00000, ips: 35485.26174 ins/s
2022-04-19 13:53:39,012 - INFO - epoch: 0, batch_id: 7500, click_auc:0.538350, purchase_auc:0.507544, loss:0.18389815, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.05635 sec, avg_samples: 2000.00000, ips: 35492.28372 ins/s
