2021-12-20 18:41:12,287 - INFO - **************common.configs**********
2021-12-20 18:41:12,287 - INFO - use_gpu: True, use_xpu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: data/whole_data/test, start_epoch: 0, end_epoch: 1, print_interval: 50, model_load_path: output_model_all_autodeepfm
2021-12-20 18:41:12,287 - INFO - **************common.configs**********
W1220 18:41:12.289043 17996 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 18:41:12.294060 17996 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 18:41:17,189 - INFO - read data
2021-12-20 18:41:17,189 - INFO - reader path:criteo_reader
2021-12-20 18:41:19,038 - INFO - load model epoch 0
2021-12-20 18:41:19,038 - INFO - start load model from output_model_all_autodeepfm/0
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 18:44:10,514 - INFO - epoch: 0, batch_id: 3150, auc: 0.804186, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05324 sec, avg_samples: 2000.00000, ips: 37512.91 ins/s
2021-12-20 18:44:13,180 - INFO - epoch: 0, batch_id: 3200, auc: 0.804135, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05323 sec, avg_samples: 2000.00000, ips: 37516.21 ins/s
2021-12-20 18:44:15,867 - INFO - epoch: 0, batch_id: 3250, auc: 0.804083, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05368 sec, avg_samples: 2000.00000, ips: 37207.72 ins/s
2021-12-20 18:44:18,557 - INFO - epoch: 0, batch_id: 3300, auc: 0.803996, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05371 sec, avg_samples: 2000.00000, ips: 37187.02 ins/s
2021-12-20 18:44:21,309 - INFO - epoch: 0, batch_id: 3350, auc: 0.803935, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05496 sec, avg_samples: 2000.00000, ips: 36341.68 ins/s
2021-12-20 18:44:23,974 - INFO - epoch: 0, batch_id: 3400, auc: 0.803863, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05323 sec, avg_samples: 2000.00000, ips: 37522.79 ins/s
2021-12-20 18:44:26,640 - INFO - epoch: 0, batch_id: 3450, auc: 0.803826, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05323 sec, avg_samples: 2000.00000, ips: 37520.44 ins/s
2021-12-20 18:44:29,387 - INFO - epoch: 0, batch_id: 3500, auc: 0.803820, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05488 sec, avg_samples: 2000.00000, ips: 36395.32 ins/s
2021-12-20 18:44:32,144 - INFO - epoch: 0, batch_id: 3550, auc: 0.803747, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05505 sec, avg_samples: 2000.00000, ips: 36285.37 ins/s
2021-12-20 18:44:34,833 - INFO - epoch: 0, batch_id: 3600, auc: 0.803684, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05370 sec, avg_samples: 2000.00000, ips: 37188.32 ins/s
