2021-12-20 16:34:03,274 - INFO - **************common.configs**********
2021-12-20 16:34:03,274 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 16:34:03,274 - INFO - **************common.configs**********
W1220 16:34:03.276041  5239 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 16:34:03.281190  5239 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 16:34:09,232 - INFO - read data
2021-12-20 16:34:09,232 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/fluid/dygraph/varbase_patch_methods.py:392: UserWarning: [93m
Warning:
tensor.grad will return the tensor value of the gradient. This is an incompatible upgrade for tensor.grad API.  It's return type changes from numpy.ndarray in version 2.0 to paddle.Tensor in version 2.1.0.  If you want to get the numpy value of the gradient, you can use :code:`x.grad.numpy()` [0m
  warnings.warn(warning_msg)
2021-12-20 16:40:25,027 - INFO - epoch: 0, batch_id: 2900, lr: 0.001, auc:0.758825, loss:0.5817925, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08236 sec, avg_samples: 2000.00000, ips: 24284.25269 ins/s
2021-12-20 16:40:29,136 - INFO - epoch: 0, batch_id: 2950, lr: 0.001, auc:0.759228, loss:0.54873973, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08182 sec, avg_samples: 2000.00000, ips: 24443.28680 ins/s
2021-12-20 16:40:33,244 - INFO - epoch: 0, batch_id: 3000, lr: 0.001, auc:0.759621, loss:0.5764859, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08180 sec, avg_samples: 2000.00000, ips: 24448.71246 ins/s
2021-12-20 16:40:37,531 - INFO - epoch: 0, batch_id: 3050, lr: 0.001, auc:0.759993, loss:0.5389115, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08538 sec, avg_samples: 2000.00000, ips: 23424.63438 ins/s
2021-12-20 16:40:41,675 - INFO - epoch: 0, batch_id: 3100, lr: 0.001, auc:0.760359, loss:0.559525, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08254 sec, avg_samples: 2000.00000, ips: 24231.51541 ins/s
2021-12-20 16:40:45,777 - INFO - epoch: 0, batch_id: 3150, lr: 0.001, auc:0.760725, loss:0.5611116, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08170 sec, avg_samples: 2000.00000, ips: 24481.13274 ins/s
2021-12-20 16:40:49,882 - INFO - epoch: 0, batch_id: 3200, lr: 0.001, auc:0.761064, loss:0.5644748, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08177 sec, avg_samples: 2000.00000, ips: 24458.15897 ins/s
2021-12-20 16:40:53,984 - INFO - epoch: 0, batch_id: 3250, lr: 0.001, auc:0.761401, loss:0.5732983, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08170 sec, avg_samples: 2000.00000, ips: 24480.63549 ins/s
2021-12-20 16:40:58,149 - INFO - epoch: 0, batch_id: 3300, lr: 0.001, auc:0.761762, loss:0.5438909, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08295 sec, avg_samples: 2000.00000, ips: 24109.50186 ins/s
2021-12-20 16:41:02,258 - INFO - epoch: 0, batch_id: 3350, lr: 0.001, auc:0.762048, loss:0.5497906, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08184 sec, avg_samples: 2000.00000, ips: 24437.92904 ins/s
2021-12-20 16:41:06,398 - INFO - epoch: 0, batch_id: 3400, lr: 0.001, auc:0.762358, loss:0.5418598, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.08248 sec, avg_samples: 2000.00000, ips: 24249.70833 ins/s
2021-12-20 16:41:10,514 - INFO - epoch: 0, batch_id: 3450, lr: 0.001, auc:0.762651, loss:0.5548709, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08198 sec, avg_samples: 2000.00000, ips: 24396.41712 ins/s
2021-12-20 16:41:14,625 - INFO - epoch: 0, batch_id: 3500, lr: 0.001, auc:0.762943, loss:0.5589423, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08187 sec, avg_samples: 2000.00000, ips: 24429.92669 ins/s
2021-12-20 16:41:18,745 - INFO - epoch: 0, batch_id: 3550, lr: 0.001, auc:0.763218, loss:0.54609406, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08206 sec, avg_samples: 2000.00000, ips: 24371.70561 ins/s
2021-12-20 16:41:22,847 - INFO - epoch: 0, batch_id: 3600, lr: 0.001, auc:0.763504, loss:0.5675975, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08171 sec, avg_samples: 2000.00000, ips: 24476.60538 ins/s
2021-12-20 16:41:26,958 - INFO - epoch: 0, batch_id: 3650, lr: 0.001, auc:0.763811, loss:0.5457399, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.08188 sec, avg_samples: 2000.00000, ips: 24425.47372 ins/s
2021-12-20 16:41:31,202 - INFO - epoch: 0, batch_id: 3700, lr: 0.001, auc:0.764043, loss:0.5690432, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08450 sec, avg_samples: 2000.00000, ips: 23669.30742 ins/s
2021-12-20 16:41:35,254 - INFO - epoch: 0, batch_id: 3750, lr: 0.001, auc:0.764324, loss:0.5376373, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08071 sec, avg_samples: 2000.00000, ips: 24781.58747 ins/s
2021-12-20 16:41:39,328 - INFO - epoch: 0, batch_id: 3800, lr: 0.001, auc:0.764583, loss:0.56416714, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.08115 sec, avg_samples: 2000.00000, ips: 24644.83659 ins/s
2021-12-20 16:41:43,402 - INFO - epoch: 0, batch_id: 3850, lr: 0.001, auc:0.764863, loss:0.56347346, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08115 sec, avg_samples: 2000.00000, ips: 24645.68230 ins/s
2021-12-20 16:41:47,516 - INFO - epoch: 0, batch_id: 3900, lr: 0.001, auc:0.765069, loss:0.5698276, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08193 sec, avg_samples: 2000.00000, ips: 24411.13852 ins/s
2021-12-20 16:41:51,603 - INFO - epoch: 0, batch_id: 3950, lr: 0.001, auc:0.765307, loss:0.56484616, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08139 sec, avg_samples: 2000.00000, ips: 24572.06031 ins/s
2021-12-20 16:41:55,698 - INFO - epoch: 0, batch_id: 4000, lr: 0.001, auc:0.765527, loss:0.57282674, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08157 sec, avg_samples: 2000.00000, ips: 24519.04160 ins/s
