2021-12-20 17:38:28,908 - INFO - **************common.configs**********
2021-12-20 17:38:28,908 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 17:38:28,908 - INFO - **************common.configs**********
W1220 17:38:28.909716 11696 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 17:38:28.914793 11696 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 17:38:35,125 - INFO - read data
2021-12-20 17:38:35,125 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 17:47:44,206 - INFO - epoch: 0, batch_id: 3750, lr: 0.001, auc:0.774795, loss:0.5396223, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07516 sec, avg_samples: 2000.00000, ips: 26608.31616 ins/s
2021-12-20 17:47:48,016 - INFO - epoch: 0, batch_id: 3800, lr: 0.001, auc:0.774946, loss:0.5635598, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07541 sec, avg_samples: 2000.00000, ips: 26520.81151 ins/s
2021-12-20 17:47:51,837 - INFO - epoch: 0, batch_id: 3850, lr: 0.001, auc:0.775112, loss:0.56027085, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07567 sec, avg_samples: 2000.00000, ips: 26431.55172 ins/s
2021-12-20 17:47:55,610 - INFO - epoch: 0, batch_id: 3900, lr: 0.001, auc:0.775216, loss:0.5680751, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.07471 sec, avg_samples: 2000.00000, ips: 26769.30084 ins/s
2021-12-20 17:48:00,055 - INFO - epoch: 0, batch_id: 3950, lr: 0.001, auc:0.775352, loss:0.56230515, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08815 sec, avg_samples: 2000.00000, ips: 22688.50433 ins/s
2021-12-20 17:48:04,290 - INFO - epoch: 0, batch_id: 4000, lr: 0.001, auc:0.775460, loss:0.5712813, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08391 sec, avg_samples: 2000.00000, ips: 23834.13824 ins/s
2021-12-20 17:48:08,139 - INFO - epoch: 0, batch_id: 4050, lr: 0.001, auc:0.775600, loss:0.55466694, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07623 sec, avg_samples: 2000.00000, ips: 26235.63118 ins/s
2021-12-20 17:48:11,957 - INFO - epoch: 0, batch_id: 4100, lr: 0.001, auc:0.775726, loss:0.55393404, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07562 sec, avg_samples: 2000.00000, ips: 26446.35270 ins/s
2021-12-20 17:48:15,785 - INFO - epoch: 0, batch_id: 4150, lr: 0.001, auc:0.775808, loss:0.56642115, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.07583 sec, avg_samples: 2000.00000, ips: 26375.41034 ins/s
2021-12-20 17:48:19,617 - INFO - epoch: 0, batch_id: 4200, lr: 0.001, auc:0.775975, loss:0.5569145, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07588 sec, avg_samples: 2000.00000, ips: 26358.12261 ins/s
2021-12-20 17:48:23,435 - INFO - epoch: 0, batch_id: 4250, lr: 0.001, auc:0.776106, loss:0.54921454, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07563 sec, avg_samples: 2000.00000, ips: 26446.03087 ins/s
